,Book title,Author,ISBN,Bestseller_Date,Created_Date,Publisher,Weeks_on_List
120,THE HUNGER GAMES,Suzanne Collins,9781338635171,4/29/2023,5/3/2023 22:05,Scholastic,273
121,DIARY OF A WIMPY KID,and   Jeff Kinney,9781419762949,4/29/2023,5/3/2023 22:05,Amulet,737
122,A GOOD GIRL'S GUIDE TO MURDER,Holly Jackson,9781984896391,4/29/2023,5/3/2023 22:05,Delacorte,83
123,THE SUMMER I TURNED PRETTY TRILOGY,Jenny Han,9781416968290,4/29/2023,5/3/2023 22:05,Simon & Schuster,54
124,HARRY POTTER,J.K. Rowling,9780590353427,4/29/2023,5/3/2023 22:05,Scholastic,736
125,CAPTAIN UNDERPANTS,and   Dav Pilkey,9781338865394,4/29/2023,5/3/2023 22:05,Scholastic,313
126,SHADOW AND BONE TRILOGY,Leigh Bardugo,9781250196231,4/29/2023,5/3/2023 22:05,Square Fish,43
127,THE INHERITANCE GAMES,Jennifer Lynn Barnes,9780759555402,4/29/2023,5/3/2023 22:05,"Little, Brown",35
128,PERCY JACKSON & THE OLYMPIANS,Rick Riordan,9780786838653,4/29/2023,5/3/2023 22:05,Disney-Hyperion,671
129,WHO WAS/IS . . . ?,Jim Gigliotti and others; various illustrators,9780448483207,4/29/2023,5/3/2023 22:05,Penguin Workshop,140
130,FIVE SURVIVE,Holly Jackson,9780593374160,4/29/2023,5/3/2023 22:05,Delacorte,22
131,NICK AND CHARLIE,Alice Oseman,9781338885101,4/29/2023,5/3/2023 22:05,Scholastic,17
132,SILVER IN THE BONE,Alexandra Bracken,9780593481653,4/29/2023,5/3/2023 22:05,Knopf,4
133,THE FIRST TO DIE AT THE END,Adam Silvera,9780063240803,4/29/2023,5/3/2023 22:05,Quill Tree,30
134,LIGHTLARK,Alex Aster,9781419760860,4/29/2023,5/3/2023 22:05,Amulet,36
135,SPELL BOUND,F.T. Lukens,9781665940184,4/29/2023,5/3/2023 22:05,Margaret K. McElderry,4
136,THE STOLEN HEIR,Holly Black,9780316592703,4/29/2023,5/3/2023 22:05,"Little, Brown",17
137,SHE IS A HAUNTING,Trang Thanh Tran,9781547610815,4/29/2023,5/3/2023 22:05,Bloomsbury,9
138,THE LITTLE MERMAID: AGAINST THE TIDE,J. Elle,9781368077224,4/29/2023,5/3/2023 22:05,Disney,3
139,LOVELESS,Alice Oseman,9781338751932,4/29/2023,5/3/2023 22:05,Scholastic,34
140,THE LAST THING HE TOLD ME,Laura Dave,9781797123196,4/29/2023,5/3/2023 22:51,Simon & Schuster Audio,0
141,LESSONS IN CHEMISTRY,Bonnie Garmus,9780593507537,4/29/2023,5/3/2023 22:51,Random House Audio,0
142,REMARKABLY BRIGHT CREATURES,Shel Van Pelt,9780063204188,4/29/2023,5/3/2023 22:51,HarperAudio,0
143,HELLO BEAUTIFUL,Ann Napolitano,9780593664049,4/29/2023,5/3/2023 22:51,Random House Audio,0
144,SIMPLY LIES,David Baldacci,9781549152016,4/29/2023,5/3/2023 22:51,Hachette Audio,0
145,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,9781508236610,4/29/2023,5/3/2023 22:51,Simon & Schuster Audio,0
146,HAPPY PLACE,Emily Henry,9780593675113,4/29/2023,5/3/2023 22:51,Penguin Audio,0
147,DEMON COPPERHEAD,Barbara Kingsolver,9780063252004,4/29/2023,5/3/2023 22:51,HarperAudio,0
148,IT ENDS WITH US,Colleen Hoover,9781508212690,4/29/2023,5/3/2023 22:51,Simon & Schuster Audio,0
149,DAISY JONES & THE SIX,Taylor Jenkins Reid,9781984845306,4/29/2023,5/3/2023 22:51,Random House Audio,0
150,VERITY,Colleen Hoover,DBKADBL052088,4/29/2023,5/3/2023 22:51,Audible Studios,0
151,I WILL FIND YOU,Harlan Coben,9781543661385,4/29/2023,5/3/2023 22:51,Brilliance Audio,0
152,IT STARTS WITH US,Colleen Hoover,9781797145082,4/29/2023,5/3/2023 22:51,Simon & Schuster Audio,0
153,DARK ANGEL,John Sandford,9780593672280,4/29/2023,5/3/2023 22:51,Penguin Audio,0
154,MAD HONEY,Jodi Picoult and Jennifer Finney Boylan,9780593614105,4/29/2023,5/3/2023 22:51,Random House Audio,0
155,OUTLIVE,Peter Attia with Bill Gifford,9780593664445,4/29/2023,5/3/2023 22:51,Random House Audio,0
156,GREENLIGHTS,Matthew McConaughey,9780593294185,4/29/2023,5/3/2023 22:51,Random House Audio,0
157,SPARE,Prince Harry,9780593675090,4/29/2023,5/3/2023 22:51,Random House Audio,0
158,I'M GLAD MY MOM DIED,Jennette McCurdy,9781797147949,4/29/2023,5/3/2023 22:51,Simon & Schuster Audio,0
159,THE LIGHT WE CARRY,Michelle Obama,9780593677889,4/29/2023,5/3/2023 22:51,Random House Audio,0
160,THE WAGER,David Grann,9780307747495,4/29/2023,5/3/2023 22:51,Random House Audio,0
161,THE BODY KEEPS THE SCORE,Bessel van der Kolk,9780593412701,4/29/2023,5/3/2023 22:51,Penguin Audio,0
162,YOU CAN'T JOKE ABOUT THAT,Kat Timpf,9780063270459,4/29/2023,5/3/2023 22:51,HarperAudio,0
163,EXTREME OWNERSHIP,Jocko Willink and Leif Babin,9781427264305,4/29/2023,5/3/2023 22:51,Macmillan Audio,0
164,FINDING ME,Viola Davis,9780063037342,4/29/2023,5/3/2023 22:51,HarperAudio,0
165,ALL MY KNOTTED-UP LIFE,Beth Moore,9781496480514,4/29/2023,5/3/2023 22:51,Tyndale Audio,0
166,KILLERS OF THE FLOWER MOON,David Grann,9780307747457,4/29/2023,5/3/2023 22:51,Random House Audio,0
