movie_title,year,length,genre,stars, gross ,rating_NA,rating_Not Rated,rating_PG,rating_PG_13,rating_Passed,rating_R,rating_TV_PG,Action,Adventure,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci_Fi,Sport,Thriller,War,Western
The Lovely Bones,2009,135,"['Drama', 'Fantasy', 'Thriller']",6.6,"$43,818,839.00 ",0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
The Pelican Brief,1993,141,"['Crime', 'Drama', 'Mystery']",6.6,"$100,768,056.00 ",0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
The Shawshank Redemption,1994,142,['Drama'],9.3,"$28,341,469.00 ",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Stand by Me,1986,89,"['Adventure', 'Drama']",8.1,"$52,287,414.00 ",0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Mist,2007,126,"['Horror', 'Sci-Fi', 'Thriller']",7.1,"$25,594,957.00 ",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
Misery,1990,107,"['Drama', 'Thriller']",7.8,"$61,276,872.00 ",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
The Time Traveler's Wife,2009,107,"['Comedy', 'Drama', 'Fantasy']",7.1,"$63,414,846.00 ",0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Wuthering Heights,1992,105,"['Drama', 'History', 'Romance']",6.6, N/A ,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
We Need to Talk About Kevin,2011,112,"['Drama', 'Mystery', 'Thriller']",7.5,"$1,738,692.00 ",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
Appaloosa,2008,115,"['Action', 'Crime', 'Drama']",6.7,"$20,207,003.00 ",0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Atonement,2007,123,"['Drama', 'Mystery', 'Romance']",7.8,"$50,927,067.00 ",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
Awakenings,1990,121,"['Biography', 'Drama']",7.8,"$52,096,475.00 ",0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ballet Shoes,,85,"['Drama', 'Family', 'Musical']",6.6, N/A ,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Water for Elephants,2011,120,"['Drama', 'Romance']",6.9,"$58,709,717.00 ",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
The Lincoln Lawyer,2011,118,"['Crime', 'Drama', 'Mystery']",7.3,"$58,009,200.00 ",0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Jane Eyre,2011,120,"['Drama', 'Romance']",7.3,"$11,242,660.00 ",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Secretariat,2010,123,"['Biography', 'Drama', 'Family']",7.2,"$59,713,955.00 ",0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
The Social Network,2010,120,"['Biography', 'Drama']",7.8,"$96,962,694.00 ",0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Town,2010,125,"['Crime', 'Drama', 'Thriller']",7.5,"$92,186,262.00 ",0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Tamara Drewe,2010,107,"['Comedy', 'Drama', 'Romance']",6.2,"$560,101.00 ",0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Green Zone,2010,115,"['Action', 'Drama', 'Thriller']",6.8,"$35,053,660.00 ",0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Shutter Island,2010,138,"['Mystery', 'Thriller']",8.2,"$128,012,934.00 ",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
The Ghost Writer,2010,128,"['Crime', 'Drama', 'Mystery']",7.2,"$15,541,549.00 ",0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
The Runaways,2010,106,"['Biography', 'Drama', 'Music']",6.5,"$3,571,735.00 ",0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Winter's Bone,2010,100,"['Drama', 'Mystery']",7.1,"$6,531,503.00 ",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
The Blind Side,2009,129,"['Biography', 'Drama', 'Sport']",7.6,"$255,959,475.00 ",0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
A Single Man,2009,99,"['Crime', 'Drama', 'Romance']",7.5,"$9,166,863.00 ",0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Crazy Heart,2009,112,"['Drama', 'Music', 'Romance']",7.2,"$39,462,438.00 ",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
Up in the Air,2009,109,"['Comedy', 'Drama', 'Romance']",7.4,"$83,823,381.00 ",0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
The Last Station,2009,112,"['Biography', 'Drama', 'Romance']",6.9,"$6,616,974.00 ",0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
The Soloist,2009,117,"['Biography', 'Drama', 'Music']",6.7,"$31,670,931.00 ",0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Like Dandelion Dust,2009,100,['Drama'],7,"$352,810.00 ",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Public Enemies,2009,140,"['Action', 'Biography', 'Crime']",7,"$97,104,620.00 ",0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Confessions of a Shopaholic,2009,104,"['Comedy', 'Romance']",5.8,"$44,277,350.00 ",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Inkheart,2008,106,"['Adventure', 'Family', 'Fantasy']",6.1,"$17,303,424.00 ",0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Revolutionary Road,2008,119,"['Drama', 'Romance']",7.3,"$22,911,480.00 ",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
