book_title,author,isbn,publisher,weeks_on_list,movie_title,year,length,movie_genre,movie_rating,star_rating, gross_amount ,Book Title (GoodReads),Author,average_rating,isbn,isbn13,language_code,publication_date,publisher
,,,,,,,,,,,,Mr. Christmas,Roger Hargreaves/Adam Hargreaves,3.65,843121106,9780840000000,eng,3/23/1998,Price Stern Sloan
,,,,,,,,,,,,Mr. Happy,Roger Hargreaves,3.98,1405211997,9780840000000,eng,9/14/2006,Price Stern Sloan
,,,,,,,,,,,,Mr. Impossible,Roger Hargreaves,3.95,084317420X,9781410000000,eng,4/30/2004,Egmont Children's Books
,,,,,,,,,,,,Mr. Ives' Christmas,Oscar Hijuelos,3.76,60927542,9780840000000,eng,8/24/1998,Price Stern Sloan
,,,,,,,,,,,,Mr. Jelly and the Pirates,Roger Hargreaves/Adam Hargreaves,3.82,084312492X,9780060000000,eng,12/23/2003,Harper Perennial
,,,,,,,,,,,,Mr. Majeika and the School Trip,Humphrey Carpenter,3.85,141303352,9780840000000,eng,5/10/2007,Price Stern Sloan
,,,,,,,,,,,,Mr. Maybe,Jane Green,3.45,767905202,9780140000000,eng,4/29/1999,Puffin
,,,,,,,,,,,,Mr. Mulliner Speaking,P.G. Wodehouse,4.01,1841591386,9780770000000,eng,6/11/2002,Broadway Books
,,,,,,,,,,,,Mr. Murder,Dean Koontz,3.76,425210758,9781840000000,en-US,3/3/2005,Everyman Library / Overlook Press
,,,,,,,,,,,,Mr. Sammler's Planet,Saul Bellow/Stanley Crouch,3.76,142437832,9780430000000,eng,7/5/2006,Berkley
,,,,,,,,,,,,Mrs. Dalloway,Virginia Woolf/Maureen Howard,3.79,151009988,9780140000000,eng,1/6/2004,Penguin Classics
,,,,,,,,,,,,Mrs. McGinty's Dead (Hercule Poirot  #30),Agatha Christie,3.83,7121008,9780150000000,eng,10/28/2002,Houghton Mifflin Harcourt
,,,,,,,,,,,,Mrs. Piggle-Wiggle (Mrs. Piggle Wiggle  #1),Betty MacDonald/Alexandra Boiger,4.16,64401480,9780010000000,eng,7/1/2002,HarperCollins Publishers
,,,,,,,,,,,,Mrs. Piggle-Wiggle Treasury (Mrs. Piggle Wiggle  #1-2  #4),Betty MacDonald/Hilary Knight,4.46,60248122,9780060000000,eng,8/14/2007,HarperCollins
,,,,,,,,,,,,Mrs. Piggle-Wiggle's Magic (Mrs. Piggle Wiggle  #2),Betty MacDonald/Alexandra Boiger,4.16,64401510,9780060000000,eng,6/15/1995,HarperCollins
,,,,,,,,,,,,Mrs. Sharp's Traditions: Reviving Victorian Family Celebrations of Comfort & Joy,Sarah Ban Breathnach,4.08,074321076X,9780060000000,eng,8/14/2007,HarperCollins
,,,,,,,,,,,,Much Ado about Nothing,William Shakespeare/Mary Berry/Michael Clamp,4.07,052161872X,9780740000000,en-US,12/31/2001,Scribner Book Company
,,,,,,,,,,,,Much Ado About Nothing,William Shakespeare/David L. Stevenson,4.07,451526813,9780520000000,eng,9/1/2005,Cambridge University Press
,,,,,,,,,,,,Much Ado about Nothing,William Shakespeare/Samuel West/Amanda Root/Arkangel Cast,4.07,1932219250,9780450000000,eng,7/1/1998,Signet Classic
,,,,,,,,,,,,Much Ado about Nothing,William Shakespeare/F.H. Mares,4.07,521532507,9781930000000,eng,11/30/2005,BBC Audiobooks America
,,,,,,,,,,,,Much Ado about Nothing,William Shakespeare/Jacky Bratton,4.07,521598222,9780520000000,eng,4/21/2003,Cambridge University Press
,,,,,,,,,,,,Much Ado about Nothing,William Shakespeare/Roma Gill,4.07,198321473,9780520000000,eng,5/2/1998,Cambridge University Press
,,,,,,,,,,,,Much Ado about Nothing (Oxford School Shakespeare),William Shakespeare/Roma Gill,4.07,198320566,9780200000000,eng,12/2/2004,Oxford University Press  USA
,,,,,,,,,,,,Much Obliged  Jeeves,P.G. Wodehouse,4.23,1585675261,9780200000000,eng,12/12/2002,Oxford University Press  USA
,,,,,,,,,,,,Mugglenet.Com's What Will Happen in Harry Potter 7: Who Lives  Who Dies  Who Falls in Love and How Will the Adventure Finally End?,Ben Schoen/Andy Gordon/Gretchen Stull/Emerson Spartz/Jamie Lawrence,4.23,1569755833,9781590000000,eng,4/12/2004,Harry N. Abrams
,,,,,,,,,,,,Muhammad: A Biography of the Prophet,Karen Armstrong,4.15,62508865,9781570000000,en-GB,10/19/2006,Ulysses Press
,,,,,,,,,,,,Muhammad: A Prophet for Our Time,Karen Armstrong,4.08,60598972,9780060000000,eng,9/10/1993,HarperOne
,,,,,,,,,,,,Mulliner Nights (Mr. Mulliner  #3),P.G. Wodehouse,4.11,1400079616,9780060000000,eng,10/17/2006,Eminent Lives
,,,,,,,,,,,,Multiculturalism,Charles Taylor/Amy Gutmann/Michael Walzer/Susan R. Wolf/Shierry Weber Nicholsen/Kwame Anthony Appiah/Jürgen Habermas/Steven C. Rockefeller,3.8,691037795,9781400000000,eng,4/12/2005,Vintage
,,,,,,,,,,,,Murder at Ford's Theatre (Capital Crimes  #19),Margaret Truman,3.74,449007383,9780690000000,eng,9/11/1994,Princeton University Press
,,,,,,,,,,,,Murder at the Vicarage (Miss Marple  #1),Agatha Christie,4.05,1579126251,9780450000000,en-US,9/30/2003,Fawcett
,,,,,,,,,,,,Murder at the Vicarage (Miss Marple  #1),Agatha Christie,4.05,451201159,9781580000000,eng,9/1/2006,Black Dog & Leventhal Publishers
,,,,,,,,,,,,Murder at The Washington Tribune (Capital Crimes  #21),Margaret Truman,3.58,345478207,9780450000000,eng,9/1/2000,Signet
,,,,,,,,,,,,Murder by Moonlight & Other Mysteries (New Adventures of Sherlock Holmes 19-24),NOT A BOOK,4,743564677,9780350000000,eng,10/31/2006,Ballantine Books
,,,,,,,,,,,,Murder from the East,Carroll John Daly,3.63,930330013,9780740000000,eng,10/3/2006,Simon  Schuster Audio
,,,,,,,,,,,,Murder in Amsterdam: The Death of Theo van Gogh and the Limits of Tolerance,Ian Buruma,3.72,1594201080,9780930000000,eng,1/1/1935,International Polygonics
,,,,,,,,,,,,Murder in Foggy Bottom (Capital Crimes  #17),Margaret Truman,3.71,449001962,9781590000000,eng,9/7/2006,Penguin Press HC  The
,,,,,,,,,,,,Murder in the Bastille (Aimee Leduc Investigations  #4),Cara Black,3.73,1569473641,9780450000000,en-US,1/29/2002,Fawcett
,,,,,,,,,,,,Murder in the Cathedral,T.S. Eliot,3.76,156632772,9781570000000,en-US,4/1/2004,Soho Crime
,,,,,,,,,,,,Murder On The Glitter Box (Steve Allen Mystery #3),Steve Allen,3.6,1575662450,9780160000000,eng,3/18/1964,Harcourt  Brace Jovanovich/Harvest
,,,,,,,,,,,,Murder on the Orient Express (Hercule Poirot  #10),Agatha Christie,4.17,425200450,9781580000000,eng,1/1/1998,Kensington
,,,,,,,,,,,,Murder on the Orient Express (Hercule Poirot  #10),Agatha Christie,4.17,1579126235,9780430000000,eng,8/31/2004,Berkley
,,,,,,,,,,,,Murder on the Yellow Brick Road (Toby Peters  #2),Stuart M. Kaminsky,3.63,743400003,9781580000000,eng,9/1/2006,Black Dog & Leventhal Publishers
,,,,,,,,,,,,Murder Unleashed (Jack and Jamie #2),Lee Charles Kelley,3.95,60524944,9780740000000,eng,5/1/2000,iBooks
,,,,,,,,,,,,Museum of Terror  Vol. 1: Tomie 1,Junji Ito/伊藤潤二/Naomi Kokubo,4.09,1593075421,9780060000000,eng,1/1/2004,Avon Books
,,,,,,,,,,,,Museum of Terror  Vol. 2: Tomie 2,Junji Ito/伊藤潤二/Naomi Kokubo,4.11,1593076126,9781590000000,eng,8/8/2006,Dark Horse Comics
,,,,,,,,,,,,Museum of Terror  Vol. 3: The Long Hair in the Attic,Junji Ito/伊藤潤二,4.12,1593076398,9781590000000,eng,9/19/2006,Dark Horse Manga
,,,,,,,,,,,,Music & Silence,Rose Tremain,3.95,743418263,9781590000000,eng,11/21/2006,Dark Horse Manga
,,,,,,,,,,,,Music in the Night (Logan  #4),V.C. Andrews,3.85,067153467X,9780740000000,eng,5/1/2001,Washington Square Press
,,,,,,,,,,,,Music of the Meadow (Little Einsteins Early Reader),Susan Ring/Kelly Preston/Katie Nix,3.7,786855371,9780670000000,eng,3/1/1998,Pocket Books
,,,,,,,,,,,,Must Love Dragons (Immortally Sexy  #2),Stephanie Rowe,3.98,446617679,9780790000000,eng,9/1/2006,Disney Press
,,,,,,,,,,,,Mutant Message Down Under,Marlo Morgan,3.79,60723513,9780450000000,en-US,11/1/2006,Warner Forever
,,,,,,,,,,,,Mutants & Masterminds: RPG,Steve Kenson/Ramón Pérez,3.81,1932442529,9780060000000,eng,5/25/2004,Harper Perennial
,,,,,,,,,,,,Mutants: On Genetic Variety and the Human Body,Armand Marie Leroi,4.05,142004820,9781930000000,eng,11/1/2005,Green Ronin Publishing
,,,,,,,,,,,,My Ántonia (Great Plains Trilogy  #3),Willa Cather,3.79,1583485090,9780140000000,eng,1/25/2005,Penguin Books
,,,,,,,,,,,,My Antonia (Great Plains trilogy #3),Willa Cather/Alyssa  Harad,3.79,743487699,9781580000000,eng,2/20/2000,New Millennium Library
,,,,,,,,,,,,My Dirty Thirties: Romantic Hedonism,Kelly  Carr,3,1932420347,9780740000000,eng,3/4/2009,Pocket Books
,,,,,,,,,,,,My Education: A Book of Dreams,William S. Burroughs,3.7,140094547,9781930000000,eng,7/1/2004,New Tradition Books
,,,,,,,,,,,,My Father's Dragon (My Father's Dragon  #1),Ruth Stiles Gannett,4.1,440421217,9780140000000,eng,6/1/1996,Penguin Books
,,,,,,,,,,,,My Favorite Year: A Collection of Football Writing,Nick Hornby/D.J. Taylor/Huw Richards/Chris Pierson/Roddy Doyle/Harry Ritchie/Harry Pearson/Olly Wicken/Graham Brack/Matt Nation/Ed Horton/Don  Watson,3.68,753814412,9780440000000,eng,12/27/2005,Yearling
,,,,,,,,,,,,My First Story of Christmas,Tim Dowley/Roger Langton,4.07,802417582,9780750000000,eng,8/1/2001,Orion Publishing
,,,,,,,,,,,,My First Word Touch and Feel,Anne Millard,3.79,789479311,9780800000000,eng,9/1/2004,Moody Publishers
,,,,,,,,,,,,My Gal Sunday,Mary Higgins Clark,3.57,671014919,9780790000000,eng,9/19/2001,DK Children
,,,,,,,,,,,,My Heart May Be Broken  but My Hair Still Looks Great (Domestic Equalizers #2),Dixie Cash,3.88,61134236,9780670000000,en-US,2/1/2003,Pocket Books
,,,,,,,,,,,,My Invented Country: A Nostalgic Journey Through Chile,Isabel Allende,3.85,006054564X,9780060000000,eng,8/29/2006,William Morrow Paperbacks
,,,,,,,,,,,,My Inventions,Nikola Tesla,4.01,1599869942,9780060000000,en-US,5/27/2003,Harper
,,,,,,,,,,,,My Ishmael (Ishmael  #3),Daniel Quinn,4.07,553379658,9781600000000,eng,5/17/2006,Filiquarian Publishing  LLC.
,,,,,,,,,,,,My Life,Bill Clinton,3.73,375414576,9780550000000,eng,10/6/1998,Bantam
,,,,,,,,,,,,My Life  Volume I: The Early Years,Bill Clinton,3.82,1400096715,9780380000000,en-US,6/22/2004,Knopf Publishing Group
,,,,,,,,,,,,My Life as a Man,Philip Roth,3.73,067974827X,9781400000000,en-US,5/31/2005,Vintage
,,,,,,,,,,,,My Life in France,Julia Child/Alex Prud'Homme,4.17,1400043468,9780680000000,eng,1/13/1994,Vintage
,,,,,,,,,,,,My Little House Crafts Book: 18 Projects from Laura Ingalls Wilder's,Carolyn Strom Collins/Christina Wyss Eriksson/Mary Collier,4.03,64462048,9781400000000,eng,4/4/2006,Knopf Publishing Group
,,,,,,,,,,,,My Lord Eternity (Immortal Rogues  #2),Debbie Raleigh/Alexandra Ivy,3.73,821775502,9780060000000,eng,3/21/1998,HarperCollins
,,,,,,,,,,,,My Movie Business,John Irving,3.34,552998680,9780820000000,eng,10/1/2003,Zebra
,,,,,,,,,,,,My Movie Business: A Memoir,John Irving,3.34,345441303,9780550000000,eng,10/5/2000,Black Swan
,,,,,,,,,,,,My Name is Aram,William Saroyan/Don Freeman,4.15,440362059,9780350000000,eng,10/10/2000,Ballantine Books
,,,,,,,,,,,,My Name Is Asher Lev,Chaim Potok,4.21,1400031044,9780440000000,en-US,6/1/1991,Laurel Press
,,,,,,,,,,,,My Perfect Life (Confessions of a Teenage Drama Queen  #2),Dyan Sheldon,3.32,076362828X,9781400000000,eng,3/11/2003,Anchor
,,,,,,,,,,,,My Pride and Joy: An Autobiography,George  Adamson,4.23,671624970,9780760000000,eng,3/3/2005,Candlewick Press
,,,,,,,,,,,,My Secret Garden: Women's Sexual Fantasies,Nancy Friday,3.68,671019872,9780670000000,en-US,12/31/1987,Simon & Schuster
,,,,,,,,,,,,My Secret: A PostSecret Book,Frank Warren,4.34,61196681,9780670000000,eng,10/28/2003,Pocket Books
,,,,,,,,,,,,My Side of the Mountain (Mountain  #1),Jean Craighead George,4.06,142401110,9780060000000,en-GB,10/24/2006,William Morrow
,,,,,,,,,,,,My Sister's Keeper,Mavis Applewater,3.86,097441218X,9780140000000,eng,4/12/2004,Puffin Books
,,,,,,,,,,,,My Sister's Keeper,Jodi Picoult,4.07,743454537,9780970000000,eng,3/9/2004,Limitless Corporation
,,,,,,,,,,,,My Sister's Keeper (Gillian Adams  #2),Nora Kelly,3.7,1890208280,9780740000000,eng,2/1/2005,Washington Square Press
,,,,,,,,,,,,My Soul to Keep (African Immortals  #1),Tananarive Due,4.17,006105366X,9781890000000,eng,2/1/2000,Poisoned Pen Press
,,,,,,,,,,,,My Story as told by Water: Confessions  Druidic Rants  Reflections  Bird-watchings  Fish-stalkings  Visions  Songs and Prayers Refracting Light  from Living Rivers  in the Age of the Industrial Dark,David James Duncan,4.1,1578050499,9780060000000,eng,4/8/1998,Harper Voyager
,,,,,,,,,,,,My Uncle Napoleon,Iraj Pezeshkzad/Dick Davis/Azar Nafisi,4.16,812974433,9781580000000,eng,7/17/2001,Sierra Club Books
,,,,,,,,,,,,My Uncle Oswald,Roald Dahl,3.89,140055770,9780810000000,eng,4/11/2006,Modern Library
,,,,,,,,,,,,My War Gone By  I Miss It So,Anthony Loyd,4.29,140298541,9780140000000,eng,5/1/1986,Penguin (Non-Classics)
,,,,,,,,,,,,My War Gone by  I Miss It So,Anthony Loyd,4.29,552771333,9780140000000,eng,2/1/2001,Penguin Books (NY)
,,,,,,,,,,,,My Wicked  Wicked Ways,Errol Flynn/Jeffrey Meyers,4.02,1845130499,9780550000000,en-GB,11/7/2000,Bantam Press
,,,,,,,,,,,,My Wicked Pirate,Rona Sharon,3.9,821780573,9781850000000,eng,2/25/2005,Aurum
,,,,,,,,,,,,My Woman His Wife,Anna J.,4.38,975306626,9780820000000,eng,11/1/2006,Zebra
,,,,,,,,,,,,My Year of Meats,Ruth Ozeki,3.96,140280464,9780980000000,en-US,9/1/2006,Urban Books
,,,,,,,,,,,,MySQL Cookbook,Paul DuBois,4,059652708X,9780140000000,eng,3/1/1999,Penguin Books
,,,,,,,,,,,,Mysteria (Mysteria  #1),MaryJanice Davidson/Susan Grant/P.C. Cast/Gena Showalter,3.73,425211061,9780600000000,en-US,12/4/2006,O'Reilly Media
,,,,,,,,,,,,Mysteries,Knut Hamsun/Sverre Lyngstad,4.09,141186186,9780430000000,eng,7/5/2006,Berkley Sensation
,,,,,,,,,,,,Mysteries,Colin Wilson,4.08,1842931857,9780140000000,en-US,1/1/2001,Penguin Classics
,,,,,,,,,,,,Mystery Walk,Robert R. McCammon,3.89,067176991X,9781840000000,eng,7/28/2006,Watkins
,,,,,,,,,,,,Mystic River,Dennis Lehane,4.18,60584750,9780670000000,eng,10/1/1992,Pocket Books
,,,,,,,,,,,,Mystic River,Dennis Lehane,4.18,593047508,9780060000000,eng,2/1/2001,William Morrow Paperbacks
,,,,,,,,,,,,Mystical Paths (Starbridge  #5),Susan Howatch,4.23,6496873,9780590000000,eng,3/5/2001,Bantam Press
,,,,,,,,,,,,Myth and Reality,Mircea Eliade/Willard R. Trask,4.08,1577660099,9780010000000,eng,7/1/1996,HarperCollins Publishers
,,,,,,,,,,,,Mythology,Edith Hamilton/Steele Savage,4,316341517,9781580000000,en-US,6/1/1998,Waveland Press
,,,,,,,,,,,,Mythology: The DC Comics Art of Alex Ross,Alex Ross/Geoff Spear/Chip Kidd,4.33,375714626,9780320000000,eng,9/14/1998,Little  Brown and Company
,,,,,,,,,,,,Mythology: Timeless Tales of Gods and Heroes,Edith Hamilton,4,446607258,9780380000000,eng,11/8/2005,Pantheon
,,,,,,,,,,,,Myths of Light: Eastern Metaphors of the Eternal (Collected Work),Joseph Campbell/David Kudler,4.43,1577314034,9780450000000,eng,8/1/1999,Warner
,,,,,,,,,,,,Myths of the Norsemen: Retold from the Old Norse Poems and Tales,Roger Lancelyn Green/Alan Langford,4,140367381,9781580000000,eng,5/16/2003,New World Library
,,,,,,,,,,,,"Myths of the Underworld Journey: Plato  Aristophanes  and the ""Orphic"" Gold Tablets",Radcliffe G. Edmonds III,3.75,521834341,9780140000000,eng,11/1/1994,Puffin Books
,,,,,,,,,,,,Nabokov's Pale Fire: The Magic of Artistic Discovery,Brian Boyd,4.22,691089574,9780520000000,eng,11/18/2004,Cambridge University Press
,,,,,,,,,,,,Nacho and Lolita,Pam Muñoz Ryan/Claudia Rueda,3.97,439269687,9780690000000,eng,11/4/2001,Princeton University Press
,,,,,,,,,,,,Naked,David Sedaris/Amy Sedaris,4.09,1586212230,9780440000000,eng,10/1/2005,Scholastic Press
,,,,,,,,,,,,Naked Came the Manatee,Carl Hiaasen/Elmore Leonard/Dave Barry/James W. Hall/Edna Buchanan/Les Standiford/Paul Levine/Brian Antoni/Tananarive Due/John Dufresne/Vicki Hendricks/Carolina Hospital/Evelyn Mayerson,3.48,449001245,9781590000000,en-US,10/1/2001,Grand Central Publishing
,,,,,,,,,,,,Naked Conversations: How Blogs Are Changing the Way Businesses Talk with Customers,Robert Scoble/Shel  Israel,3.72,047174719X,9780450000000,eng,1/20/1998,Ballantine Books
,,,,,,,,,,,,Naked Economics: Undressing the Dismal Science,Charles Wheelan,4.03,393324869,9780470000000,eng,1/1/2006,Wiley
,,,,,,,,,,,,Naked Empire (Sword of Truth  #8),Terry Goodkind,3.81,765344300,9780390000000,eng,9/17/2003,W. W. Norton  Company
,,,,,,,,,,,,Naked Empire (Sword of Truth  #8),Terry Goodkind,3.81,7145594,9780770000000,eng,6/1/2004,Tor Books
,,,,,,,,,,,,Naked Lunch,William S. Burroughs/James Grauerholz/Barry Miles,3.46,802140181,9780010000000,en-GB,10/1/2004,Voyager
,,,,,,,,,,,,Naked Lunch: The Restored Text,William S. Burroughs,3.46,7204442,9780800000000,eng,1/26/2004,Grove Press
,,,,,,,,,,,,Naked Pictures of Famous People,Jon   Stewart,3.59,688171621,9780010000000,eng,5/3/2005,HarperCollins Publishers
,,,,,,,,,,,,Name Dropping,Jane Heller,3.52,312978332,9780690000000,en-GB,9/22/1999,Dey Street Books
,,,,,,,,,,,,Nancy Drew: Girl Detective: #1-4,Carolyn Keene,4.02,689036914,9780310000000,eng,3/15/2001,St. Martin's Press
,,,,,,,,,,,,Nancy's Mysterious Letter (Nancy Drew Mystery Stories  #8),Carolyn Keene/Walter Karig,3.86,1557091625,9780690000000,eng,10/1/2004,Aladdin
,,,,,,,,,,,,Nanny Ogg's Cookbook,Terry Pratchett/Stephen Briggs/Tina Hannan/Paul Kidby,4,552146730,9781560000000,eng,4/1/1996,Applewood Books
,,,,,,,,,,,,Naomi,Jun'ichirō Tanizaki/Anthony H. Chambers,3.69,375724745,9780550000000,eng,11/1/2001,Corgi
,,,,,,,,,,,,Narcissus and Goldmund,Hermann Hesse/Leila Vennewitz,4.2,720608724,9780380000000,en-GB,4/10/2001,Vintage
,,,,,,,,,,,,Narcissus in Chains (Anita Blake  Vampire Hunter  #10),Laurell K. Hamilton,3.9,515133876,9780720000000,eng,6/1/1993,Peter Owen Ltd
,,,,,,,,,,,,Narrative of the Life of Frederick Douglass  an American Slave / Incidents in the Life of a Slave Girl,Frederick Douglass/Harriet Ann Jacobs/Kwame Anthony Appiah,4.01,345478231,9780520000000,eng,9/24/2002,Jove
,,,,,,,,,,,,Narrative of the Life of Frederick Douglass: An American Slave,Frederick Douglass/Gregory Stephens/Peter J. Gomes,4.02,451529944,9780350000000,eng,12/28/2004,Modern Library
,,,,,,,,,,,,Narrative of the Life of Frederick Douglass: An American Slave  Written by Himself,Frederick Douglass/David W. Blight,4.02,312257376,9780450000000,eng,6/7/2005,Signet Book
,,,,,,,,,,,,Narrative of the Life of Frederick Douglass: An American Slave  Written by Himself,Frederick Douglass,4.02,074348777X,9780310000000,eng,12/25/2002,Bedford Books
,,,,,,,,,,,,Nathan the Wise  Minna von Barnhelm  and Other Plays and Writings,Gotthold Ephraim Lessing,3.7,826407072,9780740000000,eng,11/1/2004,Simon  Schuster
,,,,,,,,,,,,Nathaniel Hawthorne: The Scarlet Letter: Essays  Articles  Reviews,Elmer Kennedy-Andrews,3.38,231121911,9780830000000,eng,12/1/1991,Bloomsbury Academic
,,,,,,,,,,,,Nathaniel Hawthorne's The Scarlet Letter,Nathaniel Hawthorne/Karin Jacobson,3.4,764587242,9780230000000,eng,12/27/2000,Columbia University Press
,,,,,,,,,,,,National Geographic Field Guide to the Birds of North America,National Geographic Society/Jon L. Dunn/Jonathan Alderfer,4.38,792253140,9780760000000,eng,4/29/2001,Cliffs Notes
,,,,,,,,,,,,National Geographic Traveler: Australia,Roff Smith,3.8,792238931,9780790000000,eng,11/23/2006,National Geographic Society
,,,,,,,,,,,,Nations and Nationalism since 1780: Programme  Myth  Reality,Eric Hobsbawm,3.9,521439612,9780790000000,eng,10/5/1999,National Geographic
,,,,,,,,,,,,Native Son,Richard Wright,3.99,006083756X,9780520000000,eng,10/30/1992,Cambridge University Press
,,,,,,,,,,,,"Natural Cures ""They"" Don't Want You to Know about",Kevin Trudeau,3.09,975599518,9780060000000,eng,8/2/2005,Harper Perennial Modern Classics
,,,,,,,,,,,,Natural Health  Natural Medicine,Andrew Weil,4.11,618479031,9780980000000,en-US,1/1/2004,Alliance Publishing
,,,,,,,,,,,,Natural Theology: Comprising Nature & Grace by Professor Dr Emil Brunner & the Reply No! by Dr Karl Barth,Karl Barth/Emil Brunner/Peter Fraenkel,3.72,1592441122,9780620000000,en-US,12/9/2004,Mariner Books
,,,,,,,,,,,,Nature Girl,Carl Hiaasen,3.63,307262995,9781590000000,en-GB,12/1/2002,Wipf & Stock Publishers
,,,,,,,,,,,,Naughty Little Secret,Shayla Black/Shelley Bradley,3.73,1599982935,9780310000000,eng,11/14/2006,Alfred A. Knopf
,,,,,,,,,,,,Nausea,Jean-Paul Sartre/James  Wood/Robert Baldick,3.92,014118549X,9781600000000,eng,8/1/2006,Samhain Publishing
,,,,,,,,,,,,Nausicaä of the Valley of the Wind  Vol. 4 (Nausicaä of the Valley of the Wind  #4),Hayao Miyazaki/David Lewis/Toren Smith/Kaori Inoue/Joe Yamazaki/Walden Wong/Izumi Evers,4.59,1591163528,9780140000000,eng,11/30/2000,Penguin Books
,,,,,,,,,,,,Nausicaä of the Valley of the Wind  Vol. 5 (Nausicaä of the Valley of the Wind  #5),Hayao Miyazaki/Matt Thorn/Kaori Inoue/Joe Yamazaki/Walden Wong/Izumi Evers,4.61,1591164125,9781590000000,eng,6/2/2004,VIZ Media
,,,,,,,,,,,,Nausicaä of the Valley of the Wind  Vol. 6 (Nausicaä of the Valley of the Wind  #6),Hayao Miyazaki/Matt Thorn/Kaori Inoue/Joe Yamazaki/Walden Wong/Izumi Evers,4.62,1591163544,9781590000000,eng,6/30/2004,VIZ Media
,,,,,,,,,,,,Nausicaä of the Valley of the Wind  Vol. 7 (Nausicaä of the Valley of the Wind  #7),Hayao Miyazaki/Matt Thorn/Kaori Inoue/Joe Yamazaki/Walden Wong/Izumi Evers,4.61,1591163552,9781590000000,eng,8/10/2004,VIZ Media
,,,,,,,,,,,,Navajo Long Walk,Nancy M. Armstrong/Paulette Livers-Lambert,3.45,1879373564,9781590000000,eng,9/7/2004,VIZ Media
,,,,,,,,,,,,"Nearer the Moon: From ""A Journal of Love"": The Unexpurgated Diary of Anaïs Nin  1937-1939",Anaïs Nin/Gunther Stuhlmann,4.23,151000891,9781880000000,eng,7/1/1994,Roberts Rinehart Publishers
,,,,,,,,,,,,Neil Gaiman's Neverwhere,Mike Carey/Glenn Fabry/Neil Gaiman,4.24,1401210074,9780150000000,eng,11/1/1996,Houghton Mifflin
,,,,,,,,,,,,Neither Here nor There: Travels in Europe,Bill Bryson,3.86,380713802,9781400000000,eng,2/14/2007,Vertigo
,,,,,,,,,,,,Nemesis (Miss Marple  #12),Agatha Christie,3.85,451200187,9780380000000,eng,3/28/1993,William Morrow Paperbacks
,,,,,,,,,,,,Neptune Noir: Unauthorized Investigations into Veronica Mars,Rob Thomas/Leah Wilson/Heather Havrilesky/Amy Berner/Lynne Edwards/John  Ramos/Alafair Burke/Chris McCubbin/Lawrence Watt-Evans/Lani Diane Rich/Geoff Klock/Judy Fitzwater/Evelyn Vaughn/Joyce Millman/Amanda Ann Klein/Kristen Kidder/Jesse Hassenger/Gwen Ellery/Misty Hook/Samantha Bornemann,3.63,1933771135,9780450000000,eng,5/1/2000,Signet
,,,,,,,,,,,,Nerve,Dick Francis,4.04,515123463,9781930000000,eng,4/10/2007,Smart Pop
,,,,,,,,,,,,Netochka Nezvanova,Fyodor Dostoyevsky/Jane Kentish,3.81,140444556,9780520000000,eng,9/1/1998,Jove
,,,,,,,,,,,,Neuromancer,William Gibson,3.9,441012035,9780140000000,eng,8/29/1985,Penguin Classics
,,,,,,,,,,,,Never Call Retreat,Bruce Catton/E.B. Long,4.33,1842122916,9780440000000,eng,11/2/2004,Ace
,,,,,,,,,,,,Never Far From Nowhere,Andrea Levy,3.7,747252130,9781840000000,eng,12/31/2001,Phoenix Press (UK)
,,,,,,,,,,,,Never Go Back,Robert Goddard,3.71,552152110,9780750000000,eng,8/8/1996,Tinder Press
,,,,,,,,,,,,Never Go Home Again,Shannon Holmes,4.03,743496167,9780550000000,eng,10/23/2006,Corgi
,,,,,,,,,,,,Never Let Me Go,Kazuo Ishiguro,3.82,1400078776,9780740000000,eng,9/27/2005,Atria Books
,,,,,,,,,,,,Never Let Me Go,Kazuo Ishiguro,3.82,676977111,9781400000000,eng,8/31/2010,Vintage Books
,,,,,,,,,,,,Never Let Me Go,Kazuo Ishiguro/Rosalyn Landor,3.82,1415916292,9780680000000,eng,1/31/2006,Vintage Books
,,,,,,,,,,,,Neverwhere (London Below  #1),Neil Gaiman,4.17,60557818,9781420000000,eng,4/12/2005,Books on Tape
,,,,,,,,,,,,New Amazons,Margaret Weis/Jane Lindskold/Linda Baker/Kathleen M. Massie-Ferch/Cynthia Ward/Lawrence C. Connolly/John Tigges/Kate Novak/Janet Pack/James Reasoner/Livia Reasoner/Nick O'Donohoe/Anne Yvonne Gilbert/Linda Mannheim/Nancy Springer/Gary A. Braunbeck/Jo Clayton/Robyn McGrew/Kevin T. Stein/Felicia Dale/Russell          Davis,3.56,886778875,9780060000000,eng,9/2/2003,William Morrow Paperbacks
,,,,,,,,,,,,New Complete Guide to Sewing,Reader's Digest Association,4.23,762104201,9780890000000,eng,2/1/2000,DAW
,,,,,,,,,,,,New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,3.9,1400032490,9780760000000,eng,10/24/2002,Readers Digest.
,,,,,,,,,,,,New Jewish Wedding  Revised,Anita Diamant,3.96,743202554,9781400000000,eng,8/10/2004,Vintage Crime/Black Lizard
,,,,,,,,,,,,New Media Language,Jean Aitchison/Diana M. Lewis,3,415283043,9780740000000,eng,3/6/2001,Scribner
,,,,,,,,,,,,New Moon (Moon #6),Rebecca York,3.86,425216020,9780420000000,eng,5/22/2003,Routledge
