book_title,author,isbn,publisher,weeks_on_list,movie_title,year,length,movie_genre,movie_rating,star_rating, gross_amount ,Book Title (GoodReads),Author,average_rating,isbn,isbn13,language_code,publication_date,publisher
DARK ANGEL,John Sandford,9780593422410,Putnam,3,Harry Potter and the Deathly Hallows: Part 2,2011,130 min,"Adventure, Family, Fantasy",PG-13,8.1,"$381,011,219.00 ",22 Indigo Place,Sandra Brown,3.63,553290851,9781590000000,en-US,5/4/2006,Tarcher
ROMANTIC COMEDY,Curtis Sittenfeld,9780399590948,Random House,4,Harry Potter and the Order of the Phoenix,2007,138 min,"Action, Adventure, Family",PG-13,7.5,"$292,004,738.00 ",23 Days in July: Inside the Tour de France and Lance Armstrong's Record-Breaking Victory,John Wilcockson/Graham   Watson,3.67,306814552,9780550000000,eng,2/25/1997,Bantam (Fanfare)
REMARKABLY BRIGHT CREATURES,Shel Van Pelt,9780063204157,Ecco,15,Harry Potter and the Deathly Hallows: Part 1,2010,146 min,"Adventure, Family, Fantasy",PG-13,7.7,"$295,983,305.00 ",25 Ways to Win with People: How to Make Others Feel Like a Million Bucks,John C. Maxwell/Les Parrott III,4.11,785260943,9780310000000,eng,6/15/2005,Da Capo Press
YOU SHOULDN'T HAVE COME HERE,Jeneva Rose,9798212182805,Blackstone,1,Harry Potter and the Half-Blood Prince,2009,153 min,"Action, Adventure, Family",PG,7.6,"$301,959,197.00 ",2nd Chance (Women's Murder Club  #2),James Patterson/Andrew Gross,4.04,446696633,9780790000000,eng,6/5/2005,HarperCollins Leadership
NIGHT ANGEL NEMESIS,Brent Weeks,9780316554909,Orbit,1,The Help,2011,146 min,Drama,PG-13,8.1,"$169,708,112.00 ",2nd Chance (Women's Murder Club #2),James Patterson/Melissa Leo/Jeremy Piven/Andrew Gross,4.04,1594831165,9780450000000,eng,5/20/2005,Grand Central Publishing
FAT TALK,Virginia Sole-Smith,9781250831217,Holt,1,Extremely Loud & Incredibly Close,2011,129 min,"Adventure, Drama, Mystery",PG-13,6.9,"$31,847,881.00 ",3rd Degree,James Patterson/Andrew Gross/Carolyn McCormick,4.02,1586215981,9781590000000,eng,2/27/2006,Little  Brown & Company
YOU COULD MAKE THIS PLACE BEAUTIFUL,Maggie Smith,9781982185855,Atria/One Signal,3,One Day,2011,107 min,"Drama, Romance",PG-13,7,"$13,843,771.00 ",3rd Degree (Women's Murder Club  #3),James Patterson/Andrew Gross,4.02,446696641,9781590000000,eng,3/1/2004,Hachette Audio
WHAT HAPPENED TO YOU?,Bruce D. Perry and Oprah Winfrey,9781250223180,Flatiron,51,Forrest Gump,1994,142 min,"Drama, Romance",PG-13,8.8,"$330,252,182.00 ",4:50 from Paddington / A Pocket Full of Rye (BBC Presents: Two Miss Marple Dramas),Agatha Christie,3.94,553525638,9780450000000,eng,5/20/2005,Grand Central Publishing
UGLY LOVE,Colleen Hoover,9781476753188,Atria,92,Lord of the Flies,1990,90 min,"Adventure, Drama, Thriller",R,6.4,"$13,985,225.00 ",4th of July (Women's Murder Club  #4),James Patterson/Maxine Paetro,4.07,446613363,9780550000000,eng,5/4/1999,Random House Audio
KING OF WRATH,Ana Huang,9781728289724,Bloom,1,My Sister's Keeper,2009,109 min,"Drama, Family",PG-13,7.3,"$49,200,230.00 ",50 Great Curries of India,Camellia Panjabi,4.15,1904920357,9780450000000,eng,6/1/2006,Vision
HEART BONES,Colleen Hoover,9781668021910,Atria,13,Twilight,2008,122 min,"Drama, Fantasy, Romance",PG-13,5.3,"$192,769,854.00 ",7 Steps to Midnight,Richard Matheson,3.48,765308371,9781900000000,eng,12/30/2005,Kyle Books
THE INVISIBLE LIFE OF ADDIE LARUE,V.E. Schwab,9780765387578,Tor,3,The Twilight Saga: New Moon,2009,130 min,"Adventure, Drama, Fantasy",PG-13,4.7,"$296,623,634.00 ",72 Hour Hold,Bebe Moore Campbell,3.81,1400033616,9780770000000,en-US,7/18/2003,Forge Books
THINGS WE NEVER GOT OVER,Lucy Score,9781945631832,Bloom,30,The Twilight Saga: Eclipse,2010,124 min,"Action, Adventure, Drama",PG-13,5,"$300,531,751.00 ",A Backward Glance,Edith Wharton/Louis Auchincloss,3.76,684847558,9781400000000,eng,7/11/2006,Anchor
ICEBREAKER,Hannah Grace,9781668026038,Atria,11,Percy Jackson & the Olympians: The Lightning Thief,2010,118 min,"Adventure, Family, Fantasy",PG,5.8,"$88,761,720.00 ",A Beautiful Mind,Sylvia Nasar,4.13,571212921,9780680000000,eng,7/15/1998,Scribner
THE HOUSEMAID,Freida McFadden,9781538742570,Grand Central,1,Percy Jackson: Sea of Monsters,2013,106 min,"Adventure, Family, Fantasy",PG,5.7,"$68,559,554.00 ",A Bend in the River,V.S. Naipaul,3.77,330487140,9780570000000,eng,2/4/2002,Faber  Faber
THE SILENT PATIENT,Alex Michaelides,9781250301703,Celadon,89,Pride & Prejudice,2005,129 min,"Drama, Romance",PG,7.8,"$38,405,088.00 ",A Bend in the Road,Nicholas Sparks,4.03,446696137,9780330000000,eng,5/10/2002,Picador USA
