title,author,weeks_on_list,publication_date,average_rating,publisher
Till We Have Faces: A Myth Retold,C.S. Lewis/Nadia May,,9/1/2000,4.19,Blackstone Publishing
The Demon-Haunted World: Science as a Candle in the Dark,Carl Sagan/Ann Druyan,,2/25/1997,4.27,Ballantine Books
Stephen Hawking's a Brief History of Time: A Reader's Companion,Stephen Hawking/Gene  Stone,,5/1/1992,4.08,Bantam Books
The Illustrated A Brief History of Time,Stephen Hawking,,10/1/1997,4.17,Bantam
Brevísima historia del tiempo,Stephen Hawking/Leonard Mlodinow/David Jou i Mirabent,,3/8/2005,4.22,Critica (Grijalbo Mondadori)
A First Course in String Theory,Barton Zwiebach,,6/28/2004,4.16,Cambridge University Press
Black Holes & Time Warps: Einstein's Outrageous Legacy,Kip S. Thorne/Stephen Hawking/Frederick Seitz,,1/17/1995,4.18,W. W. Norton  Company
Surely You're Joking  Mr. Feynman!,Richard P. Feynman,,12/17/2006,4.28,Vintage
Surely You're Joking  Mr. Feynman!: Adventures of a Curious Character,Richard P. Feynman/Raymond Todd,,1/1/1997,4.28,Blackstone Audiobooks
The Meaning of It All: Thoughts of a Citizen-Scientist,Richard P. Feynman,,4/6/2005,4.05,Basic Books
Amor Y Respeto/love And Respect: El Respeto Que El Desesperadamente Necesita/ The Love She Most Desires And The Respect He Desperately Needs,Emerson Eggerichs,,5/6/2005,4.18,Casa Creacion
Chemistry: The Central Science,Theodore L. Brown/H. Eugene LeMay Jr./Bruce E. Bursten,,5/17/2002,3.88,Prentice Hall
Introduction to Linear Algebra and Differential Equations,John W. Dettman,,12/1/1986,3.5,Dover Publications
Physics for Scientists and Engineers,Douglas C. Giancoli,,1/20/2000,4.01,Prentice Hall
Physics: for Scientists and Engineers with Modern Physics,Paul M. Fishbane/Stephen Gasiorowicz/Stephen T. Thornton,,6/9/2004,3.78,Benjamin-Cummings Publishing Company
Misty of Chincoteague (Misty  #1),Marguerite Henry/Wesley Dennis,,12/26/2006,4.05,Aladdin
Black Beauty,Anna Sewell/Scott McKowen,,10/1/2004,3.96,Sterling
Black Beauty (Coloring Book),Anna Sewell/John         Green,,9/13/1996,3.96,Dover Publications
Five on a Treasure Island (Famous Five  #1),Enid Blyton,,6/14/2001,4.09,Hodder
The Secret Seven (The Secret Seven  #1),Enid Blyton,,4/20/2006,3.87,Hodder
The Circus of Adventure,Enid Blyton,,8/22/1975,4.11,Pan
La gata perdida = The Missing Cat (Las Aventuras de Nicolas = Adventures with Nicholas),Chris L. Demarest/Berlitz Publishing Company,,8/15/2006,4.14,Berlitz Kids
La Chatte Perdue = The Missing Cat (Les Aventures avec Nicolas = Adventures with Nicholas),Chris L. Demarest,,8/15/2006,4.14,Berlitz Kids
The Mystery of the Missing Cat,Gertrude Chandler Warner/Charles Tang,,1/1/1994,3.82,Turtleback Books
Die Verschwundene Katze = The Missing Cat,Chris L. Demarest,,1/1/1996,4.14,Berlitz Kids
The Trolley Car Family,Eleanor Clymer/Ursula Koering,,7/1/1987,4.14,Scholastic
Rose in Bloom (Eight Cousins  #2),Louisa May Alcott,,9/1/1995,4.04,Little  Brown Books for Young Readers
The Quiet Little Woman: A Christmas Story,Louisa May Alcott/C. Michael Dudash/Stephen W. Hines,,4/21/2009,3.67,Honor Books
Louisa May Alcott on Race  Sex  and Slavery,Louisa May Alcott/Sarah Elbert,,4/17/1997,3.94,Northeastern University Press
An Old-Fashioned Thanksgiving,Louisa May Alcott/James Bernardin,,8/1/2005,3.71,HarperCollins Publishers
Moods,Louisa May Alcott,,1/1/1991,3.4,Rutgers University Press
The Girlhood Diary of Louisa May Alcott  1843-1846: Writings of a Young Author,Louisa May Alcott/Kerry A. Graves,,9/1/2000,3.91,Capstone Press
These Happy Golden Years (Little House  #8),Laura Ingalls Wilder/Garth Williams,,1/1/1971,4.19,Scholastic  Inc.
Pioneer Girl: The Story of Laura Ingalls Wilder,William   Anderson/Dan Andreasen,,2/2/2000,4.14,HarperCollins
The Norton Anthology of Short Fiction,Richard Bausch,,1/5/2006,4.18,W. W. Norton & Company
Red  White  and Black: The Peoples of Early North America,Gary B. Nash,,7/14/1999,3.79,Prentice Hall
Homemade Love,bell hooks/Shane W. Evans,,12/23/2002,4.18,Jump At The Sun
The Will to Change: Men  Masculinity  and Love,bell hooks,,12/21/2004,4.36,Washington Square Press
Killing Rage: Ending Racism,bell hooks,,10/15/1996,4.28,Holt Paperbacks
Where We Stand: Class Matters,bell hooks,,10/4/2000,4.18,Routledge
All About Love: New Visions,bell hooks,,12/22/1999,4.01,William Morrow
Everybody Was Kung Fu Fighting: Afro-Asian Connections and the Myth of Cultural Purity,Vijay Prashad,,11/18/2002,3.95,Beacon Press
The Darker Nations: A People's History of the Third World,Vijay Prashad/Howard Zinn,,2/19/2007,3.98,New Press  The
The Karma Of Brown Folk,Vijay Prashad,,3/12/2001,4.1,Univ Of Minnesota Press
The Negro,W.E.B. Du Bois/Robert Gregg,,5/22/2001,4.32,University of Pennsylvania Press
Democracy Matters: Winning the Fight Against Imperialism,Cornel West,,9/2/2004,3.95,Penguin Press HC  The
Tyranny of the Majority: Fundamental Fairness in Representative Democracy,Lani Guinier/Stephen L. Carter,,2/1/1995,3.87,Free Press
More Readings From One Man's Wilderness: The Journals of Richard L. Proenneke  1974-1980,Richard Proenneke/John Branson,,1/5/2006,4.42,National Park Service
The Guardship (Thomas Marlowe  #1),James L. Nelson,,1/5/2000,4.01,William Morrow Paperbacks
Before We Were Free,Julia Alvarez,,4/13/2004,3.87,Laurel Leaf Library
Moral Disorder and Other Stories,Margaret Atwood,,10/17/2006,3.63,Nan A. Talese
The Penelopiad,Margaret Atwood/Laurel Merlington,,10/5/2005,3.7,Canongate U.S.
The Tent,Margaret Atwood,,1/1/2006,3.7,Nan A. Talese
The Robber Bride,Margaret Atwood,,1/20/1998,3.83,Anchor
The Moth Diaries,Rachel Klein,,4/7/2004,3.49,Faber & Faber Limited
Trauma,Graham Masterton,,1/1/2002,3.55,Signet
Liars and Saints,Maile Meloy,,7/13/2004,3.6,Scribner
The Anthropology of Turquoise: Reflections on Desert  Sea  Stone  and Sky,Ellen Meloy,,7/8/2003,4.04,Vintage
Eating Stone: Imagination and the Loss of the Wild,Ellen Meloy,,10/17/2006,4.1,Vintage
Writing the Qualitative Dissertation: Understanding by Doing,Judith M. Meloy,,7/3/2001,3.73,Psychology Press
The Dead Beat: Lost Souls  Lucky Stiffs  and the Perverse Pleasures of Obituaries,Marilyn Johnson,,1/30/2007,3.41,Harper Perennial
Dead Beat (The Dresden Files  #7),Jim Butcher,,1/1/2006,4.43,Roc
Diaries  1910-1923,Franz Kafka/Max Brod/Joseph Kresh/Martin Greenberg,,1/21/2009,4.23,Schocken
The Metamorphosis,Franz Kafka,,6/17/2004,3.81,Kessinger Publishing
The Metamorphosis  In the Penal Colony  and Other Stories: The Great Short Works of Franz Kafka,Franz Kafka,,5/22/2000,4.04,Scribner
The Trial,Franz Kafka/Max Brod/Willa Muir/Edwin Muir,,4/9/2001,3.98,Vintage
Franz Kafka: The Complete Stories,Franz Kafka/Nabum N. Glazer/John Updike,,1/1/1987,4.35,Schocken
The Trial,Franz Kafka/Breon Mitchell/Arthur H. Samuelson,,5/25/1999,3.98,Schocken Books
The Zürau Aphorisms,Franz Kafka/Michael Hofmann/Geoffrey Brock/Roberto Calasso,,12/26/2006,3.75,Schocken
Collected Shorter Fiction: Volume I,Leo Tolstoy/Aylmer Maude/Nigel J. Cooper,,8/7/2001,4.41,Everyman's Library
The Cossacks,Leo Tolstoy/Peter Constantine/Cynthia Ozick,,2/14/2006,3.79,Modern Library
More Adventures of the Great Brain (Great Brain  #2),John D. Fitzgerald/Mercer Mayer,,2/9/2004,4.26,Puffin Books
The Dirt: Confessions of the World's Most Notorious Rock Band,Neil Strauss/Vince Neil/Nikki Sixx/Tommy Lee/Mick Mars,,5/22/2001,4.16,Dey Street Books
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,,5/1/1991,4.22,Pocket Books
Alice's Adventures in Wonderland & Through the Looking-Glass,Lewis Carroll/John Tenniel,,5/1/1984,4.07,Bantam Classics
The Awakening,Kate Chopin/Margo Culley,,9/17/1993,3.65,W. W. Norton & Company
Go Down  Moses,William Faulkner,,1/30/1991,3.93,Vintage
The Books of Magic,Neil Gaiman/John Bolton/Scott Hampton/Charles Vess/Paul Johnson/Roger Zelazny,,4/14/1993,4.08,Vertigo
The House of Mirth,Edith Wharton/Nina Bawden,,1/19/2006,3.95,Virago
House of Mirth,Edith Wharton,,7/30/2008,3.95,Waking Lion Press
The House of Mirth,Edith Wharton/Jeffrey Meyers,,10/1/2003,3.95,Barnes  Noble Classics
Light (Kefahuchi Tract  #1),M. John Harrison,,8/31/2004,3.6,Spectra
Beautiful Evidence,Edward R. Tufte,,11/7/2006,4.15,Graphics Press LLC
The Cognitive Style of PowerPoint: Pitching Out Corrupts Within,Edward R. Tufte,,1/1/2006,4.08,Graphics Press
Hafen des Unglücks (Aubrey/Maturin Book 11),Patrick O'Brian,,10/1/2002,4.41,Ullstein Buchverlage GmbH & Co. KG / Ullstein Tas
Manöver um Feuerland (The Far Side of the World) (Aubrey/Maturin Book 10),Patrick O'Brian,,6/1/2002,4.45,Ullstein Tb
Master and Commander (Aubrey/Maturin Book 1),Patrick O'Brian,,3/9/2004,4.1,Random House Audio
Post Captain (Aubrey/Maturin Book 2),Patrick O'Brian,,12/1/1972,4.29,Lippincott Williams & Wilkins
Gefahr im Roten Meer (Treason's Harbour) (Aubrey/Maturin Book 9),Patrick O'Brian,,5/1/2002,4.38,Ullstein Tb
In the Heart of the Sea: The Tragedy of the Whaleship Essex,Nathaniel Philbrick,,5/1/2001,4.16,Penguin Books
Heart of the Sea (Gallaghers of Ardmore  #3),Nora Roberts,,12/5/2000,4.15,Berkley Books
Corazón de mar (Gallagher  #3),Nora Roberts/Juan Larrea,,7/1/2002,4.15,Punto de Lectura
Banvard's Folly: Thirteen Tales of People Who Didn't Change the World,Paul  Collins,,5/3/2002,3.98,Picador
Fads and Fallacies in the Name of Science,Martin Gardner,,6/1/1957,4.06,Dover Publications (NY)
South of the Border  West of the Sun,Haruki Murakami/Philip Gabriel,,12/1/2006,3.87,Vintage
Dance Dance Dance,Haruki Murakami,,2/7/2002,4.04,Vintage
After Dark,Haruki Murakami/Jay Rubin,,5/8/2007,3.7,Knopf Publishing Group
Vintage Murakami,Haruki Murakami,,1/6/2004,4.03,Vintage Books USA
Gravitation #2,Maki Murakami,,6/30/2004,3.99,Ediciones Glénat España
The Master and Margarita,Mikhail Bulgakov/Michael Karpelson,,4/1/2006,4.3,Lulu Press
Мастер и Маргарита,Mikhail Bulgakov/Михаил Булгаков,,9/28/2004,4.3,Эксмо
Foucault's Pendulum,Umberto Eco/William Weaver,,3/5/2007,3.89,Mariner Books
Pendulum: Leon Foucault and the Triumph of Science,Amir D. Aczel,,9/14/2004,3.72,Washington Square Press
The House of Mirth,Edith Wharton/Jeffrey Meyers,,8/26/2004,3.95,Barnes  Noble Classics
The House of Mirth,Edith Wharton/R.W.B. Lewis,,1/1/1977,3.95,New York University Press
The Family Trade (The Merchant Princes  #1),Charles Stross,,5/1/2005,3.52,Tor Fantasy
Toast  and Other Stories,Charles Stross,,12/13/2005,3.8,Cosmos Books (OH)
Accelerando,Charles Stross,,7/1/2006,3.88,Ace Books
Glasshouse,Charles Stross,,6/27/2006,3.87,Ace Books
The Hidden Family (The Merchant Princes  #2),Charles Stross,,5/2/2006,3.57,Tor Fantasy
Lobsters,Charles Stross/Shandra Marie/Jared Doreck,,8/11/2005,3.83,AudioText
Antibodies,Charles Stross/Shandra Marie/Jared Doreck,,8/11/2005,3.46,AudioText
Notes from Underground  White Nights  The Dream of a Ridiculous Man  and Selections from The House of the Dead,Fyodor Dostoyevsky/Andrew R. MacAndrew/Ben Marcus,,11/2/2004,4.18,Signet
The House of the Dead,Fyodor Dostoyevsky/Ergin Altay,,4/22/2004,4.05,Dover Publications
The Village of Stepanchikovo,Fyodor Dostoyevsky/Ignat Avsey,,12/1/2001,3.87,Penguin Book Limited
Crime and Punishment,Fyodor Dostoyevsky/Larissa Volokhonsky/Richard Pevear,,5/25/1993,4.21,Random House
The Gambler,Fyodor Dostoyevsky/Jonathan Franzen,,10/1/2005,3.89,Hesperus Press
Notes from Underground & The Double,Fyodor Dostoyevsky/Jessie Coulson,,7/30/1972,4.2,Penguin Books
Notes from Underground & A Confession (Everyman's Library),A.D.P. Briggs/Leo Tolstoy/Fyodor Dostoyevsky,,6/15/1994,3.76,Everymans Library
The Gambler/Bobok/A Nasty Story,Fyodor Dostoyevsky/Jessie Coulson,,5/27/1966,3.99,Penguin Books
The Idiot,Fyodor Dostoyevsky/Constance Garnett,,12/12/2003,4.18,Dover Publications
Netochka Nezvanova,Fyodor Dostoyevsky/Jane Kentish,,8/29/1985,3.81,Penguin Classics
Plays 5: Arcadia / The Real Thing / Night and Day / Indian Ink / Hapgood,Tom Stoppard,,12/1/2000,4.29,Farrar  Straus and Giroux
Rock 'n' Roll,Tom Stoppard,,5/10/2007,3.71,Grove Press
The Real Thing,Tom Stoppard,,4/17/2000,3.94,Farrar  Straus and Giroux
Arcadia,Tom Stoppard,,5/1/1995,4.19,Doubleday Books
Plays 1: The Real Inspector Hound / After Magritte / Dirty Linen / New-Found-Land / Dogg's Hamlet  Cahoot's Macbeth,Tom Stoppard,,4/15/1996,4.03,Faber & Faber
Every Good Boy Deserves Favor & Professional Foul,Tom Stoppard,,3/28/1994,3.9,Grove Press
Lord Malquist and Mr. Moon,Tom Stoppard,,8/15/2006,3.41,Grove Press
The Gunslinger (The Dark Tower #1),Stephen King,,7/1/1989,3.96,Signet
Everything and Nothing,Jorge Luis Borges/Eliot Weinberger/John M. Fein/James E. Irby/Donald A. Yates,,4/17/1999,4.38,New Directions
Seven Nights,Jorge Luis Borges/Eliot Weinberger,,5/29/1985,4.33,New Directions Publishing Corporation
Museo: Textos Ineditos,Adolfo Bioy Casares,,10/1/2002,4.17,Emecé Editores
Obra Poética,Jorge Luis Borges,,6/1/2005,4.49,Emecé Editores
Collected Fictions,Jorge Luis Borges/Andrew Hurley,,9/30/1999,4.58,Penguin Classics Deluxe Edition
The Eternal Frontier: An Ecological History of North America and Its Peoples,Tim Flannery,,4/17/2002,4.06,Grove Press
Hope Springs Eternal (Prairie River  #4),Kristiana Gregory,,7/1/2005,4.27,Scholastic Paperbacks
The Ancestor's Tale: A Pilgrimage to the Dawn of Evolution,Richard Dawkins,,9/2/2005,4.13,Mariner Books
The Reverse of the Medal (Aubrey & Maturin #11),Patrick O'Brian,,4/1/2010,4.41,HarperCollins
The Reverse of the Medal (Aubrey/Maturin  #11),Patrick O'Brian/Simon Vance,,2/1/2006,4.41,Blackstone Audiobooks
Teleny or the Reverse of the Medal,Oscar Wilde,,3/7/2006,3.67,MONDIAL
The Code Book: The Science of Secrecy from Ancient Egypt to Quantum Cryptography,Simon Singh,,8/29/2000,4.29,Anchor
The Eternity Code (Artemis Fowl  #3),Eoin Colfer,,5/3/2005,4.04,Miramax
How I Became a Pirate,Melinda Long/David Shannon,,9/1/2003,4.08,HMH Books for Young Readers
The Pirate Dictionary,Terry Breverton,,7/31/2004,3.7,Pelican Publishing Company
Mulliner Nights (Mr. Mulliner  #3),P.G. Wodehouse,,4/12/2005,4.11,Vintage
Life at Blandings,P.G. Wodehouse,,1/5/1988,4.35,Penguin Books
Jill the Reckless,P.G. Wodehouse,,4/7/2005,4.02,Harry N. Abrams
The Code of the Woosters: Jeeves to the Rescue,P.G. Wodehouse/Jonathan Cecil,,9/7/2006,4.36,AudioGO
P.G. Wodehouse in His Own Words,P.G. Wodehouse/Tony Ring/Barry Day,,4/28/2003,4.07,Harry N. Abrams
Jeeves and the Mating Season (Jeeves  #9),P.G. Wodehouse/Jonathan Cecil,,4/7/2003,4.26,AudioGO
Something Fresh (Blandings Castle  #1),P.G. Wodehouse,,4/7/2005,4.16,Harry N. Abrams
The Clicking of Cuthbert,P.G. Wodehouse,,11/3/2006,3.93,Hard Press
Ring for Jeeves (Jeeves  #10),P.G. Wodehouse,,4/12/2004,4.01,Harry N. Abrams
Ukridge,P.G. Wodehouse,,9/15/2003,3.89,Harry N. Abrams
Jeeves and the Tie That Binds (Jeeves  #14),P.G. Wodehouse,,11/1/2000,4.23,Touchstone
Right Ho  Jeeves (Jeeves  #6),P.G. Wodehouse,,11/3/2006,4.32,Hard Press
Blandings Castle (Blandings Castle  #3),P.G. Wodehouse,,10/23/2002,4.18,Harry N. Abrams
Mr. Mulliner Speaking,P.G. Wodehouse,,3/3/2005,4.01,Everyman Library / Overlook Press
Laughing Gas,P.G. Wodehouse,,1/1/2002,3.89,Harry N. Abrams
The Adventures of Sally,P.G. Wodehouse,,5/29/2008,3.78,BiblioLife
Meet Mr. Mulliner,P.G. Wodehouse,,5/13/2002,4.06,Harry N. Abrams
Eggs  Beans  and Crumpets,P.G. Wodehouse,,10/27/2000,4.11,Overlook Press
A Damsel in Distress,P.G. Wodehouse,,11/3/2006,4.08,rbooks
Uncle Fred in the Springtime (Blandings Castle  #6),P.G. Wodehouse,,4/15/2004,4.24,Everyman
The Best of Wodehouse: An Anthology,P.G. Wodehouse/John Mortimer,,6/19/2007,4.41,Everyman's Library
The World of Mr. Mulliner,P.G. Wodehouse,,7/29/1999,4.32,Penguin Books Ltd
Cocktail Time,P.G. Wodehouse,,10/21/2004,4.13,Harry N. Abrams
The Waste Lands (The Dark Tower #3),Stephen King/Ned Dameron,,1/1/1993,4.24,Signet Book
Jeeves in the Offing (Jeeves  #12),P.G. Wodehouse,,9/12/2002,4.17,Everyman
Jeeves and The Feudal Spirit (Jeeves  #11),P.G. Wodehouse,,9/20/2001,4.32,Everyman's Library
Piccadilly Jim,P.G. Wodehouse,,10/21/2004,4.02,Harry N. Abrams
Joy in the Morning (Jeeves  #8),P.G. Wodehouse,,3/14/2002,4.34,Everyman
The Mating Season (Jeeves  #9),P.G. Wodehouse,,9/20/2001,4.26,Everyman
Indiscretions of Archie,P.G. Wodehouse,,5/1/2000,3.87,Classic Books
The Subtle Knife (His Dark Materials  #2),Philip Pullman,,9/9/2003,4.13,Laurel Leaf Library
The Amber Spyglass  (His Dark Materials  #3),Philip Pullman,,9/9/2003,4.09,Laurel Leaf
The Eyes of the Dragon,Stephen King/David Palladini,,12/8/1987,3.93,Signet Book
The Voyage of the “Dawn Treader” (The Chronicles of Narnia  #3),C.S. Lewis/Pauline Baynes,,1/1/1970,4.09,Macmillan Publishing Company/Collier Books
Lolita,Vladimir Nabokov/John Ray Jr.,,6/13/1997,3.89,Vintage International
William Shakespeare’s: Twelfth Night (Shakespeare Retellings  #6),Bruce Coville/Kathryn Hewitt,,3/10/2003,4.11,Dial
Romeo and Juliet,William Shakespeare/Paul Werstine/Barbara A. Mowat,,1/1/2004,3.74,Simon Schuster
Romeo and Juliet,William Shakespeare/Rex Gibson,,8/1/2005,3.74,Cambridge University Press
Romeo and Juliet,William Shakespeare/Michael Sheen/Kate Beckinsale/Fiona  Shaw/Norman Rodway,,10/23/1997,3.74,Naxos Audiobooks
Ohio Class (Silent Service #5),H. Jay Riker,,7/25/2006,3.84,Avon
Seawolf Class (Silent Service #3),H. Jay Riker,,7/30/2002,3.96,Avon Books
The Art of Deception: Controlling the Human Element of Security,Kevin D. Mitnick/William L. Simon/Steve Wozniak,,10/17/2003,3.76,Wiley
Hardball: Are You Playing to Play or Playing to Win?,George Stalk Jr./Rob Lachenauer/Robert Lachenauer/John  Butman,,10/1/2004,3.49,Harvard Business Review Press
A Theory of Fun for Game Design,Raph Koster/Will Wright,,11/6/2004,3.94,Paraglyph Press
The Complete Theory Fun Factory: Music Theory Puzzles and Games for the Early Grades,Ian        Martin/Katie Elliott,,6/1/2004,5,Boosey & Hawkes Inc
The Pillow Book,Sei Shōnagon/Ivan Morris,,12/30/1991,4.02,Columbia University Press
Bachelor Brothers' Bed & Breakfast Pillow Book,Bill Richardson,,10/15/1998,3.77,St. Martin's Griffin
The Cyberiad,Stanisław Lem/Michael Kandel/Daniel Mróz,,12/16/2002,4.18,Harcourt
Christianity for Modern Pagans: Pascal's Pensées - Edited  Outlined & Explained,Peter Kreeft/Blaise Pascal,,9/1/1993,4.37,Ignatius Press
Jacques the Fatalist,Denis Diderot/David Coward,,9/16/1999,3.84,Oxford University Press
Jacques der Fatalist und sein Herr,Denis Diderot,,1/1/1972,3.84,Reclam  Ditzingen
Pictorial Encyclopedia of Trades and Industry  Vol 1,Denis Diderot/Charles Coulston Gillispie,,1/18/1993,3.6,Dover Publications
Rameau's Nephew / D'Alembert's Dream,Denis Diderot/Leonard Tancock,,10/28/1976,3.67,Penguin Books
Theory of Colours,Johann Wolfgang von Goethe/Deane B. Judd,,3/15/1970,4.06,MIT Press
Maxims and Reflections,Johann Wolfgang von Goethe/Peter Hutchinson/Elisabeth Stopp,,3/1/1999,3.82,Penguin Books
War and Peace,Leo Tolstoy,,5/9/1999,4.11,Konemann
War and Peace,Leo Tolstoy/Anthony Briggs/Orlando Figes,,1/19/2006,4.11,Viking Adult
A Savage War of Peace: Algeria  1954-1962,Alistair Horne,,10/10/2006,4.23,New York Review of Books
War and Peace,Leo Tolstoy/Constance Garnett/A.N. Wilson,,7/9/2002,4.11,Modern Library
War and Peace,Leo Tolstoy/Orlando Figes/Anthony Briggs,,12/1/2006,4.11,Penguin Books
War and Peace and War: The Rise and Fall of Empires,Peter Turchin,,2/27/2007,4.16,Plume
Great Expectations,Charles Dickens/Linda Jennings,,6/1/1995,3.77,Puffin Books
Oliver Twist,Charles Dickens,,12/30/2002,3.86,Dover Publications
Oliver Twist,Charles Dickens/Fred Kaplan,,12/17/1992,3.86,W.W. Norton & Company
Oliver Twist,Charles Dickens/George Cruikshank/Jill Muller,,10/25/2004,3.86,Barnes  Noble Classics
The Nibelungenlied,Unknown/A.T. Hatto,,8/26/2004,3.87,Penguin Classics
Gargantua and Pantagruel,François Rabelais/Thomas Urquhart/Pierre Le Motteux,,5/10/1994,3.71,Alfred A. Knopf  Inc.
Gargantua and Pantagruel,François Rabelais/M.A. Screech,,10/26/2006,3.71,Penguin Classics
Beyond Good and Evil: Prelude to a Philosophy of the Future,Friedrich Nietzsche/Walter Kaufmann,,12/17/1989,4.01,Vintage
Phenomenology of Perception,Maurice Merleau-Ponty/Colin Smith,,5/3/2005,4.15,Routledge
Introduction to Phenomenology,Dermot Moran,,2/5/2000,4.18,Routledge
Introduction to Phenomenology,Robert Sokolowski,,1/27/2000,3.98,Cambridge University Press
The Basic Problems of Phenomenology (Studies in Phenomenology & Existential Philosophy),Martin Heidegger/Albert Hofstadter,,8/1/1988,4.29,Indiana University Press
The Phenomenology of Mind  Volume II,Georg Wilhelm Friedrich Hegel/James Black Baillie,,2/16/2006,4,Cosimo Classics
Experimental Phenomenology: An Introduction,Don Ihde,,6/30/1986,3.73,State University of New York Press
Critique of Pure Reason,Immanuel Kant/J.M.D. Meiklejohn,,11/17/2003,3.94,Dover Publications
Critique of Pure Reason,Immanuel Kant/Paul Guyer/Allen W. Wood,,2/28/1999,3.94,Cambridge University Press
Critique of Pure Reason,Immanuel Kant/Werner S. Pluhar/Patricia Kitcher/James W. Ellington,,12/1/1996,3.94,Hackett Publishing Company  Inc.
Critique of Pure Reason,Immanuel Kant/Marcus Weigelt/F. Max Müller,,11/29/2007,3.94,Penguin Books Ltd
Critique of Pure Reason (Studies in the History of Philosophy),Immanuel Kant/Humphrey Palmer,,1/1/1992,3.94,Edwin Mellen Press
The Anime Encyclopedia: A Guide to Japanese Animation Since 1917,Jonathan Clements/Helen McCarthy,,11/1/2006,4.04,Stone Bridge Press
Unpublished Writings from the Period of Unfashionable Observations (Complete Works 11),Friedrich Nietzsche/Richard T. Gray,,1/1/2000,4.06,Stanford University Press
Thus Spake Zarathustra: A Book for All and None,Friedrich Nietzsche,,11/3/2006,4.06,Penguin
The Picture of Dorian Gray,Oscar Wilde,,10/10/2005,4.08,Wildside Press
The Picture of Dorian Gray,Oscar Wilde,,1/1/2005,4.08,Digireads.com
Haussmann  or the Distinction,Paul La Farge,,10/2/2002,3.65,Picador
The Artist of the Missing,Paul La Farge/Stephen Alcorn,,6/4/1999,3.58,Farrar  Strauss & Giroux-3pl
Reluctant Runaway (To Catch a Thief #2),Jill Elizabeth Nelson,,3/20/2007,3.71,Multnomah
Kentucky Straight: Stories,Chris Offutt,,10/27/1992,4.03,Vintage
Out of the Woods,Chris Offutt,,2/22/2000,4.05,Simon  Schuster
No Heroes: A Memoir of Coming Home,Chris Offutt,,4/2/2003,3.87,Simon  Schuster
The Castle Keeps,Andrew J. Offutt,,7/30/1972,3.57,Berkley
Conan: Sword of Skelos,Andrew J. Offutt,,2/18/2002,3.94,Tor Fantasy
Incest: From A Journal of Love: The Unexpurgated Diary of Anaïs Nin  1932-1934,Anaïs Nin/Rupert Pole/Gunther Stuhlmann,,10/1/1992,3.99,Houghton Mifflin Harcourt
Fire: From A Journal of Love: The Unexpurgated Diary of Anaïs Nin  1934-1937,Anaïs Nin,,7/22/1996,4.13,Mariner Books
In Favor of the Sensitive Man and Other Essays,Anaïs Nin,,4/1/1976,4.02,Mariner Books
Anaïs Nin: A Biography,Deirdre Bair,,7/1/1996,3.99,Penguin Books
Fire: From A Journal of Love - The Unexpurgated Diary of Anaïs Nin (1934-1937),Anaïs Nin/Gunther Stuhlmann,,5/15/1995,4.13,Houghton Mifflin Harcourt
The Diary of Anaïs Nin  Vol. 6: 1955-1966,Anaïs Nin/Gunther Stuhlmann,,11/3/1977,4.13,Mariner Books
Nearer the Moon: From A Journal of Love: The Unexpurgated Diary of Anaïs Nin  1937-1939,Anaïs Nin/Gunther Stuhlmann,,11/1/1996,4.23,Houghton Mifflin
The Early Diary of Anaïs Nin  Vol. 3: 1923-1927,Anaïs Nin,,3/22/1985,4.18,Mariner Books
Henry and June: From the Unexpurgated Diary of Anaïs Nin,Anaïs Nin,,12/31/1986,3.9,Houghton Mifflin Harcourt P
Flowers for Algernon,Daniel Keyes,,5/1/2005,4.12,Harvest Books
Flowers for Algernon,Daniel Keyes,,3/31/1989,4.12,Heinemann
Algernon  Charlie  and I: A Writer's Journey: Plus the Complete Original Short Novelette Version of Flowers for Algernon,Daniel Keyes,,2/14/2004,4.06,Challenge Press  Inc./Challcrest Press
Jane Eyre,Charlotte Brontë,,3/1/2001,4.12,Manesse Verlag
The Death of Ivan Ilyich and Other Stories,Leo Tolstoy,,12/5/2004,4.11,Wordsworth Editions
The Death of Ivan Ilych & Other Stories,Leo Tolstoy,,12/15/2003,4.11,Barnes  Noble Classics
The Lost Years of Merlin,T.A. Barron,,7/2/2002,3.98,Ace
The Mirror of Merlin,T.A. Barron,,7/30/2002,4.06,Ace
The Wings of Merlin,T.A. Barron,,1/28/2003,4.11,Ace
El Club Dante,Matthew Pearl/Vicente Villacampa,,3/1/2006,3.38,Planeta Publishing
El club Dante,Matthew Pearl/Vicente Villacampa,,8/30/2004,3.38,Seix Barral
Gone with the Wind,Margaret Mitchell,,4/1/1999,4.29,Warner Books
The Wind Done Gone,Alice Randall,,4/8/2002,3.07,Mariner Books
Utopia,Thomas More/Clarence H. Miller,,2/8/2001,3.53,Yale University Press
Utopia,Thomas More/Paul Turner,,5/6/2003,3.53,Penguin Classics
The Kissing Hand,Audrey Penn/Ruth E. Harper/Nancy M. Leak,,10/15/1993,4.43,Tanglewood
Hands of Light: A Guide to Healing Through the Human Energy Field,Barbara Ann Brennan/Jos. A. Smith,,2/1/1990,4.27,Bantam
Gifted Hands: The Ben Carson Story,Ben Carson/Cecil Murphey,,11/26/1996,4.21,Zondervan
