title,author,weeks_on_list,publication_date,average_rating,publisher
Job: A Comedy of Justice,Robert A. Heinlein,,10/12/1985,3.78,Del Rey
Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,,9/27/2005,3.82,Scribner
Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,,1/28/1995,4.2,Clarity Press
Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,,12/20/2000,3.65,Rowman & Littlefield Publishers
The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,,9/22/2003,3.4,Pearson
A Wrinkle in Time: A Guide for Using A Wrinkle in Time in the Classroom,John Carratello/Patty Carratello/Theresa Wright,,9/28/1991,4,Teacher Created Resources
Wrinkles in Time,George Smoot/Keay Davidson,,10/1/1994,4.01,Harper Perennial
A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,,5/1/2002,4,EMC/Paradigm Publishing
Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,,1/1/2002,3.6,Teaching Resources
Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,,6/1/1984,4,Turtleback Books
The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,,6/1/1994,4.12,Little  Brown Book Group
A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,,1/3/2006,4.11,William Morrow
Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,,11/1/2005,3.94,Atria Books
A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,,3/7/2006,3.6,Tor Books
New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,,8/10/2004,3.9,Vintage Crime/Black Lizard
Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,,3/8/2005,4.05,Vintage Crime/Black Lizard
Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,,8/10/2004,3.94,Vintage Crime/Black Lizard
The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,,10/3/1990,3.89,Vintage
I am Charlotte Simmons,Tom Wolfe,,8/30/2005,3.42,Picador USA
Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,,10/1/2001,3.91,Sterling
The Puffin Book of Nonsense Verse,Quentin Blake,,10/3/1996,4.02,Puffin
Henry Miller on Writing,Henry Miller/Thomas H. Moore,,2/1/1964,4.22,New Directions Publishing
Quiet Days in Clichy,Henry Miller,,1/13/1994,3.69,Grove Press
Tropic of Cancer,Henry Miller/Jiří Níl,,1/6/1994,3.68,Grove Press
Tropic of Capricorn,Henry Miller,,1/13/1994,3.78,Grove Press
Nexus (The Rosy Crucifixion  #3),Henry Miller,,1/13/1994,4.1,Grove Press
Sexus (The Rosy Crucifixion  #1),Henry Miller,,1/12/1994,3.98,Grove Press
The Air-Conditioned Nightmare,Henry Miller,,1/17/1970,3.83,New Directions
The Portrait of a Lady,Henry James/Patricia Crick,,9/30/2003,3.78,Penguin Classics
The Portrait of a Lady,Henry James/Gabriel Brownstein/Mary Cregan,,1/16/2004,3.78,Barnes  Noble Classics
Writing,Marguerite Duras,,5/6/1999,3.75,Brookline Books
The War,Marguerite Duras/Barbara Bray,,8/1/1994,3.85,The New Press
The Ravishing of Lol Stein,Marguerite Duras/Richard Seever,,3/12/1986,3.66,Pantheon
Love Letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,,7/1/1999,3.68,One World (UK)
Kahlil Gibran: His Life and World,Jean Gibran/جبران خليل جبران/Kahlil Gibran,,4/1/1998,4.21,Interlink Publishing Group
The Beloved: Reflections on the Path of the Heart,Kahlil Gibran/John Walbridge/Robin Waterfield,,1/1/1998,4.19,Penguin Books
Jesus the Son of Man,Kahlil Gibran/جبران خليل جبران,,2/21/1995,3.98,Knopf
The Broken Wings,Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris,,3/3/2003,3.92,Citadel
Sand and Foam,Kahlil Gibran/جبران خليل جبران,,6/14/2011,4.08,Knopf
Treasure Island,Robert Louis Stevenson,,9/15/2001,3.83,Kingfisher
Treasure Island,Robert Louis Stevenson/Scott McKowen,,10/1/2004,3.83,Sterling Children's Books
Treasure Island,Robert Louis Stevenson,,6/1/2005,3.83,Simon & Schuster
Treasure Island,Robert Louis Stevenson/N.C. Wyeth/Timothy Meis,,7/1/2003,3.83,Atheneum Books for Young Readers
Treasure Island,Robert Louis Stevenson/Milo Winter,,9/3/2002,3.83,Gramercy Books
