book_title,author,isbn,publisher,weeks_on_list,book_published,movie_released
I LOVE MOM WITH THE VERY HUNGRY CATERPILLAR,Eric Carle,9780451533463.00,Grosset & Dunlap,15,,
THE HUNGER GAMES,Suzanne Collins,9781338635171.00,Scholastic,273,,
DIARY OF A WIMPY KID,and   Jeff Kinney,9781419762949.00,Amulet,737,,
A GOOD GIRL'S GUIDE TO MURDER,Holly Jackson,9781984896391.00,Delacorte,83,,
THE SUMMER I TURNED PRETTY TRILOGY,Jenny Han,9781416968290.00,Simon & Schuster,54,,
HARRY POTTER,J.K. Rowling,9780590353427.00,Scholastic,736,,
CAPTAIN UNDERPANTS,and   Dav Pilkey,9781338865394.00,Scholastic,313,,
SHADOW AND BONE TRILOGY,Leigh Bardugo,9781250196231.00,Square Fish,43,,
THE INHERITANCE GAMES,Jennifer Lynn Barnes,9780759555402.00,"Little, Brown",35,,
PERCY JACKSON & THE OLYMPIANS,Rick Riordan,9780786838653.00,Disney-Hyperion,671,,
WHO WAS/IS . . . ?,Jim Gigliotti and others; various illustrators,9780448483207.00,Penguin Workshop,140,,
FIVE SURVIVE,Holly Jackson,9780593374160.00,Delacorte,22,,
NICK AND CHARLIE,Alice Oseman,9781338885101.00,Scholastic,17,,
SILVER IN THE BONE,Alexandra Bracken,9780593481653.00,Knopf,4,,
THE FIRST TO DIE AT THE END,Adam Silvera,9780063240803.00,Quill Tree,30,,
LIGHTLARK,Alex Aster,9781419760860.00,Amulet,36,,
SPELL BOUND,F.T. Lukens,9781665940184.00,Margaret K. McElderry,4,,
THE STOLEN HEIR,Holly Black,9780316592703.00,"Little, Brown",17,,
SHE IS A HAUNTING,Trang Thanh Tran,9781547610815.00,Bloomsbury,9,,
THE LITTLE MERMAID: AGAINST THE TIDE,J. Elle,9781368077224.00,Disney,3,,
LOVELESS,Alice Oseman,9781338751932.00,Scholastic,34,,
THE LAST THING HE TOLD ME,Laura Dave,9781797123196.00,Simon & Schuster Audio,0,,
LESSONS IN CHEMISTRY,Bonnie Garmus,9780593507537.00,Random House Audio,0,,
REMARKABLY BRIGHT CREATURES,Shel Van Pelt,9780063204188.00,HarperAudio,0,,
HELLO BEAUTIFUL,Ann Napolitano,9780593664049.00,Random House Audio,0,,
SIMPLY LIES,David Baldacci,9781549152016.00,Hachette Audio,0,,
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,9781508236610.00,Simon & Schuster Audio,0,,
HAPPY PLACE,Emily Henry,9780593675113.00,Penguin Audio,0,,
DEMON COPPERHEAD,Barbara Kingsolver,9780063252004.00,HarperAudio,0,,
IT ENDS WITH US,Colleen Hoover,9781508212690.00,Simon & Schuster Audio,0,,
DAISY JONES & THE SIX,Taylor Jenkins Reid,9781984845306.00,Random House Audio,0,,
VERITY,Colleen Hoover,DBKADBL052088,Audible Studios,0,,
I WILL FIND YOU,Harlan Coben,9781543661385.00,Brilliance Audio,0,,
IT STARTS WITH US,Colleen Hoover,9781797145082.00,Simon & Schuster Audio,0,,
DARK ANGEL,John Sandford,9780593672280.00,Penguin Audio,0,,
MAD HONEY,Jodi Picoult and Jennifer Finney Boylan,9780593614105.00,Random House Audio,0,,
OUTLIVE,Peter Attia with Bill Gifford,9780593664445.00,Random House Audio,0,,
GREENLIGHTS,Matthew McConaughey,9780593294185.00,Random House Audio,0,,
SPARE,Prince Harry,9780593675090.00,Random House Audio,0,,
I'M GLAD MY MOM DIED,Jennette McCurdy,9781797147949.00,Simon & Schuster Audio,0,,
THE LIGHT WE CARRY,Michelle Obama,9780593677889.00,Random House Audio,0,,
THE WAGER,David Grann,9780307747495.00,Random House Audio,0,,
THE BODY KEEPS THE SCORE,Bessel van der Kolk,9780593412701.00,Penguin Audio,0,,
YOU CAN'T JOKE ABOUT THAT,Kat Timpf,9780063270459.00,HarperAudio,0,,
EXTREME OWNERSHIP,Jocko Willink and Leif Babin,9781427264305.00,Macmillan Audio,0,,
ALL MY KNOTTED-UP LIFE,Beth Moore,9781496480514.00,Tyndale Audio,0,,
KILLERS OF THE FLOWER MOON,David Grann,9780307747457.00,Random House Audio,0,,
PARIS,Paris Hilton,9780063224643.00,HarperAudio,0,,
WHAT HAPPENED TO YOU?,Bruce D. Perry and Oprah Winfrey,9781250260635.00,Macmillan Audio,0,,
"FRIENDS, LOVERS, AND THE BIG TERRIBLE THING",Matthew Perry,9781250867070.00,Macmillan Audio,0,,
ATOMIC HABITS,James Clear,9780735211292.00,Avery,0,,
THE WISDOM OF THE BULLFROG,William H. McRaven,9781538707944.00,Grand Central,0,,
THE CREATIVE ACT,Rick Rubin with Neil Strauss,9780593652886.00,Penguin Press,0,,
"POVERTY, BY AMERICA",Matthew Desmond,9780593239919.00,Crown,0,,
